objective_parameter,scenario_of_interest,robustness_metric,year,flood_urb,Value,normalized_values,pw_combi
Impacted_Buildings_[#],D&G&Wp,average,20,3,690.0,0.88,00_00_03_00
Impacted_Buildings_[#],D&G&Wp,average,20,5,220.0,0.27,00_00_05_00
Impacted_Buildings_[#],D&G&Wp,average,20,7,240.0,0.3,00_00_07_00
Impacted_Buildings_[#],D&G&Wp,average,20,9,220.0,0.27,00_00_09_00
Impacted_Buildings_[#],D&G&Wp,average,20,11,740.0,0.94,00_00_11_00
Impacted_Buildings_[#],D&G&Wp,average,20,13,680.0,0.86,00_00_13_00
Impacted_Buildings_[#],D&G&Wp,average,60,0,2700.0,0.82,00_00_00_00
Impacted_Buildings_[#],D&G&Wp,average,60,1,2270.0,0.69,00_00_01_00
Impacted_Buildings_[#],D&G&Wp,average,60,3,2210.0,0.67,00_00_03_00
Impacted_Buildings_[#],D&G&Wp,average,60,5,840.0,0.25,00_00_05_00
Impacted_Buildings_[#],D&G&Wp,average,60,7,1050.0,0.32,00_00_07_00
Impacted_Buildings_[#],D&G&Wp,average,60,9,780.0,0.24,00_00_09_00
Impacted_Buildings_[#],D&G&Wp,average,60,11,2440.0,0.74,00_00_11_00
Impacted_Buildings_[#],D&G&Wp,average,60,13,2130.0,0.65,00_00_13_00
Impacted_Buildings_[#],D&G&Wp,average,100,0,4250.0,0.64,00_00_00_00
Impacted_Buildings_[#],D&G&Wp,average,100,1,2480.0,0.37,00_00_01_00
Impacted_Buildings_[#],D&G&Wp,average,100,3,2430.0,0.36,00_00_03_00
Impacted_Buildings_[#],D&G&Wp,average,100,5,880.0,0.13,00_00_05_00
Impacted_Buildings_[#],D&G&Wp,average,100,7,1110.0,0.16,00_00_07_00
Impacted_Buildings_[#],D&G&Wp,average,100,9,800.0,0.12,00_00_09_00
Impacted_Buildings_[#],D&G&Wp,average,100,11,3000.0,0.45,00_00_11_00
Impacted_Buildings_[#],D&G&Wp,average,100,13,2450.0,0.37,00_00_13_00
Impacted_Buildings_[#],D&Wp,average,20,0,740.0,0.96,00_00_00_00
Impacted_Buildings_[#],D&Wp,average,20,1,730.0,0.93,00_00_01_00
Impacted_Buildings_[#],D&Wp,average,20,3,690.0,0.88,00_00_03_00
Impacted_Buildings_[#],D&Wp,average,20,5,210.0,0.27,00_00_05_00
Impacted_Buildings_[#],D&Wp,average,20,7,240.0,0.3,00_00_07_00
Impacted_Buildings_[#],D&Wp,average,20,9,210.0,0.27,00_00_09_00
Impacted_Buildings_[#],D&Wp,average,20,11,740.0,0.96,00_00_11_00
Impacted_Buildings_[#],D&Wp,average,20,13,690.0,0.88,00_00_13_00
Impacted_Buildings_[#],D&Wp,average,60,0,2770.0,0.82,00_00_00_00
Impacted_Buildings_[#],D&Wp,average,60,1,2320.0,0.68,00_00_01_00
Impacted_Buildings_[#],D&Wp,average,60,3,2270.0,0.67,00_00_03_00
Impacted_Buildings_[#],D&Wp,average,60,5,850.0,0.25,00_00_05_00
Impacted_Buildings_[#],D&Wp,average,60,7,1060.0,0.31,00_00_07_00
Impacted_Buildings_[#],D&Wp,average,60,9,790.0,0.23,00_00_09_00
Impacted_Buildings_[#],D&Wp,average,60,11,2520.0,0.74,00_00_11_00
Impacted_Buildings_[#],D&Wp,average,60,13,2160.0,0.64,00_00_13_00
Impacted_Buildings_[#],D&Wp,average,100,0,4290.0,0.6,00_00_00_00
Impacted_Buildings_[#],D&Wp,average,100,1,2520.0,0.35,00_00_01_00
Impacted_Buildings_[#],D&Wp,average,100,3,2460.0,0.35,00_00_03_00
Impacted_Buildings_[#],D&Wp,average,100,5,890.0,0.12,00_00_05_00
Impacted_Buildings_[#],D&Wp,average,100,7,1130.0,0.16,00_00_07_00
