objective_parameter,scenario_of_interest,robustness_metric,year,drought_agr,Value,normalized_values,pw_combi
Crop_Productivity_Loss_[%],Wp,average,100,3,30.0,0.43,00_03_00_00
Crop_Productivity_Loss_[%],Wp,average,100,5,20.0,0.29,00_05_00_00
Crop_Productivity_Loss_[%],Wp,average,100,6,20.0,0.25,00_06_00_00
Crop_Productivity_Loss_[%],Wp,average,100,7,20.0,0.23,00_07_00_00
Crop_Productivity_Loss_[%],Wp,average,100,8,30.0,0.37,00_08_00_00
Crop_Productivity_Loss_[%],Wp,average,100,9,30.0,0.37,00_09_00_00
Farmer_Drought_Costs_[MEUR],D,average,20,0,0.0,0.0,00_00_00_00
Farmer_Drought_Costs_[MEUR],D,average,20,1,10.0,0.08,00_01_00_00
Farmer_Drought_Costs_[MEUR],D,average,20,3,10.0,0.21,00_03_00_00
Farmer_Drought_Costs_[MEUR],D,average,20,5,10.0,0.32,00_05_00_00
Farmer_Drought_Costs_[MEUR],D,average,20,6,10.0,0.26,00_06_00_00
Farmer_Drought_Costs_[MEUR],D,average,20,7,10.0,0.31,00_07_00_00
Farmer_Drought_Costs_[MEUR],D,average,20,8,10.0,0.26,00_08_00_00
Farmer_Drought_Costs_[MEUR],D,average,20,9,10.0,0.02,00_09_00_00
Farmer_Drought_Costs_[MEUR],D,average,60,0,0.0,0.0,00_00_00_00
Farmer_Drought_Costs_[MEUR],D,average,60,1,40.0,0.32,00_01_00_00
Farmer_Drought_Costs_[MEUR],D,average,60,3,40.0,0.32,00_03_00_00
Farmer_Drought_Costs_[MEUR],D,average,60,5,70.0,0.68,00_05_00_00
Farmer_Drought_Costs_[MEUR],D,average,60,6,50.0,0.5,00_06_00_00
Farmer_Drought_Costs_[MEUR],D,average,60,7,20.0,0.19,00_07_00_00
Farmer_Drought_Costs_[MEUR],D,average,60,8,20.0,0.12,00_08_00_00
Farmer_Drought_Costs_[MEUR],D,average,60,9,40.0,0.37,00_09_00_00
Farmer_Drought_Costs_[MEUR],D,average,100,0,0.0,0.0,00_00_00_00
Farmer_Drought_Costs_[MEUR],D,average,100,1,70.0,0.38,00_01_00_00
Farmer_Drought_Costs_[MEUR],D,average,100,3,80.0,0.39,00_03_00_00
Farmer_Drought_Costs_[MEUR],D,average,100,5,140.0,0.74,00_05_00_00
Farmer_Drought_Costs_[MEUR],D,average,100,6,110.0,0.6,00_06_00_00
Farmer_Drought_Costs_[MEUR],D,average,100,7,40.0,0.17,00_07_00_00
Farmer_Drought_Costs_[MEUR],D,average,100,8,20.0,0.1,00_08_00_00
Farmer_Drought_Costs_[MEUR],D,average,100,9,110.0,0.57,00_09_00_00
Farmer_Drought_Costs_[MEUR],D&G,average,20,0,0.0,0.0,00_00_00_00
Farmer_Drought_Costs_[MEUR],D&G,average,20,1,10.0,0.09,00_01_00_00
Farmer_Drought_Costs_[MEUR],D&G,average,20,3,10.0,0.21,00_03_00_00
Farmer_Drought_Costs_[MEUR],D&G,average,20,5,10.0,0.34,00_05_00_00
Farmer_Drought_Costs_[MEUR],D&G,average,20,6,10.0,0.28,00_06_00_00
Farmer_Drought_Costs_[MEUR],D&G,average,20,7,10.0,0.31,00_07_00_00
Farmer_Drought_Costs_[MEUR],D&G,average,20,8,10.0,0.27,00_08_00_00
Farmer_Drought_Costs_[MEUR],D&G,average,20,9,10.0,0.02,00_09_00_00
Farmer_Drought_Costs_[MEUR],D&G,average,60,0,0.0,0.0,00_00_00_00
Farmer_Drought_Costs_[MEUR],D&G,average,60,1,40.0,0.34,00_01_00_00
Farmer_Drought_Costs_[MEUR],D&G,average,60,3,40.0,0.34,00_03_00_00
Farmer_Drought_Costs_[MEUR],D&G,average,60,5,80.0,0.72,00_05_00_00
Farmer_Drought_Costs_[MEUR],D&G,average,60,6,60.0,0.52,00_06_00_00
Farmer_Drought_Costs_[MEUR],D&G,average,60,7,30.0,0.22,00_07_00_00
Farmer_Drought_Costs_[MEUR],D&G,average,60,8,20.0,0.16,00_08_00_00
Farmer_Drought_Costs_[MEUR],D&G,average,60,9,40.0,0.38,00_09_00_00
Farmer_Drought_Costs_[MEUR],D&G,average,100,0,0.0,0.0,00_00_00_00
Farmer_Drought_Costs_[MEUR],D&G,average,100,1,80.0,0.42,00_01_00_00
Farmer_Drought_Costs_[MEUR],D&G,average,100,3,80.0,0.43,00_03_00_00
Farmer_Drought_Costs_[MEUR],D&G,average,100,5,140.0,0.77,00_05_00_00
Farmer_Drought_Costs_[MEUR],D&G,average,100,6,120.0,0.62,00_06_00_00
Farmer_Drought_Costs_[MEUR],D&G,average,100,7,40.0,0.21,00_07_00_00
Farmer_Drought_Costs_[MEUR],D&G,average,100,8,30.0,0.15,00_08_00_00
Farmer_Drought_Costs_[MEUR],D&G,average,100,9,110.0,0.59,00_09_00_00
Farmer_Drought_Costs_[MEUR],D&G&Wp,average,20,0,0.0,0.0,00_00_00_00
Farmer_Drought_Costs_[MEUR],D&G&Wp,average,20,1,10.0,0.1,00_01_00_00
Farmer_Drought_Costs_[MEUR],D&G&Wp,average,20,3,10.0,0.21,00_03_00_00
Farmer_Drought_Costs_[MEUR],D&G&Wp,average,20,5,10.0,0.39,00_05_00_00
Farmer_Drought_Costs_[MEUR],D&G&Wp,average,20,6,10.0,0.3,00_06_00_00
Farmer_Drought_Costs_[MEUR],D&G&Wp,average,20,7,10.0,0.34,00_07_00_00
Farmer_Drought_Costs_[MEUR],D&G&Wp,average,20,8,10.0,0.27,00_08_00_00
Farmer_Drought_Costs_[MEUR],D&G&Wp,average,20,9,10.0,0.02,00_09_00_00
Farmer_Drought_Costs_[MEUR],D&G&Wp,average,60,0,0.0,0.0,00_00_00_00
Farmer_Drought_Costs_[MEUR],D&G&Wp,average,60,1,50.0,0.41,00_01_00_00
Farmer_Drought_Costs_[MEUR],D&G&Wp,average,60,3,50.0,0.41,00_03_00_00
Farmer_Drought_Costs_[MEUR],D&G&Wp,average,60,5,80.0,0.75,00_05_00_00
Farmer_Drought_Costs_[MEUR],D&G&Wp,average,60,6,60.0,0.57,00_06_00_00
Farmer_Drought_Costs_[MEUR],D&G&Wp,average,60,7,40.0,0.36,00_07_00_00
Farmer_Drought_Costs_[MEUR],D&G&Wp,average,60,8,30.0,0.26,00_08_00_00
Farmer_Drought_Costs_[MEUR],D&G&Wp,average,60,9,50.0,0.44,00_09_00_00
Farmer_Drought_Costs_[MEUR],D&G&Wp,average,100,0,0.0,0.0,00_00_00_00
Farmer_Drought_Costs_[MEUR],D&G&Wp,average,100,1,100.0,0.5,00_01_00_00
Farmer_Drought_Costs_[MEUR],D&G&Wp,average,100,3,100.0,0.51,00_03_00_00
Farmer_Drought_Costs_[MEUR],D&G&Wp,average,100,5,150.0,0.8,00_05_00_00
Farmer_Drought_Costs_[MEUR],D&G&Wp,average,100,6,120.0,0.66,00_06_00_00
Farmer_Drought_Costs_[MEUR],D&G&Wp,average,100,7,70.0,0.38,00_07_00_00
Farmer_Drought_Costs_[MEUR],D&G&Wp,average,100,8,60.0,0.32,00_08_00_00
Farmer_Drought_Costs_[MEUR],D&G&Wp,average,100,9,120.0,0.63,00_09_00_00
Farmer_Drought_Costs_[MEUR],D&Wp,average,20,0,0.0,0.0,00_00_00_00
Farmer_Drought_Costs_[MEUR],D&Wp,average,20,1,10.0,0.1,00_01_00_00
Farmer_Drought_Costs_[MEUR],D&Wp,average,20,3,10.0,0.21,00_03_00_00
Farmer_Drought_Costs_[MEUR],D&Wp,average,20,5,10.0,0.4,00_05_00_00
Farmer_Drought_Costs_[MEUR],D&Wp,average,20,6,10.0,0.3,00_06_00_00
Farmer_Drought_Costs_[MEUR],D&Wp,average,20,7,10.0,0.35,00_07_00_00
Farmer_Drought_Costs_[MEUR],D&Wp,average,20,8,10.0,0.27,00_08_00_00
Farmer_Drought_Costs_[MEUR],D&Wp,average,20,9,10.0,0.02,00_09_00_00
Farmer_Drought_Costs_[MEUR],D&Wp,average,60,0,0.0,0.0,00_00_00_00
Farmer_Drought_Costs_[MEUR],D&Wp,average,60,1,50.0,0.43,00_01_00_00
Farmer_Drought_Costs_[MEUR],D&Wp,average,60,3,50.0,0.43,00_03_00_00
Farmer_Drought_Costs_[MEUR],D&Wp,average,60,5,80.0,0.76,00_05_00_00
Farmer_Drought_Costs_[MEUR],D&Wp,average,60,6,60.0,0.59,00_06_00_00
Farmer_Drought_Costs_[MEUR],D&Wp,average,60,7,50.0,0.42,00_07_00_00
Farmer_Drought_Costs_[MEUR],D&Wp,average,60,8,40.0,0.3,00_08_00_00
Farmer_Drought_Costs_[MEUR],D&Wp,average,60,9,50.0,0.45,00_09_00_00
Farmer_Drought_Costs_[MEUR],D&Wp,average,100,0,0.0,0.0,00_00_00_00
Farmer_Drought_Costs_[MEUR],D&Wp,average,100,1,100.0,0.52,00_01_00_00
Farmer_Drought_Costs_[MEUR],D&Wp,average,100,3,100.0,0.53,00_03_00_00
Farmer_Drought_Costs_[MEUR],D&Wp,average,100,5,150.0,0.8,00_05_00_00
