objective_parameter,scenario_of_interest,robustness_metric,year,drought_agr,Value,normalized_values,pw_combi
Farmer_Drought_Measure_Costs,G,average,60,08,19.22,0.19,00_08_00_00
Farmer_Drought_Measure_Costs,G,average,60,09,40.28,0.4,00_09_00_00
Farmer_Drought_Measure_Costs,G,average,100,00,0.0,0.0,00_00_00_00
Farmer_Drought_Measure_Costs,G,average,100,01,81.91,0.45,00_01_00_00
Farmer_Drought_Measure_Costs,G,average,100,03,83.23,0.46,00_03_00_00
Farmer_Drought_Measure_Costs,G,average,100,05,142.14,0.79,00_05_00_00
Farmer_Drought_Measure_Costs,G,average,100,06,114.06,0.63,00_06_00_00
Farmer_Drought_Measure_Costs,G,average,100,07,43.48,0.24,00_07_00_00
Farmer_Drought_Measure_Costs,G,average,100,08,35.46,0.2,00_08_00_00
Farmer_Drought_Measure_Costs,G,average,100,09,110.16,0.61,00_09_00_00
Farmer_Drought_Measure_Costs,G&Wp,average,20,00,0.0,0.0,00_00_00_00
Farmer_Drought_Measure_Costs,G&Wp,average,20,01,2.89,0.12,00_01_00_00
Farmer_Drought_Measure_Costs,G&Wp,average,20,03,5.19,0.21,00_03_00_00
Farmer_Drought_Measure_Costs,G&Wp,average,20,05,10.57,0.42,00_05_00_00
Farmer_Drought_Measure_Costs,G&Wp,average,20,06,7.83,0.31,00_06_00_00
Farmer_Drought_Measure_Costs,G&Wp,average,20,07,8.81,0.35,00_07_00_00
Farmer_Drought_Measure_Costs,G&Wp,average,20,08,6.85,0.27,00_08_00_00
Farmer_Drought_Measure_Costs,G&Wp,average,20,09,0.61,0.02,00_09_00_00
Farmer_Drought_Measure_Costs,G&Wp,average,60,00,0.0,0.0,00_00_00_00
Farmer_Drought_Measure_Costs,G&Wp,average,60,01,45.22,0.45,00_01_00_00
Farmer_Drought_Measure_Costs,G&Wp,average,60,03,44.74,0.45,00_03_00_00
Farmer_Drought_Measure_Costs,G&Wp,average,60,05,78.96,0.79,00_05_00_00
Farmer_Drought_Measure_Costs,G&Wp,average,60,06,60.96,0.61,00_06_00_00
Farmer_Drought_Measure_Costs,G&Wp,average,60,07,44.42,0.44,00_07_00_00
Farmer_Drought_Measure_Costs,G&Wp,average,60,08,33.83,0.34,00_08_00_00
Farmer_Drought_Measure_Costs,G&Wp,average,60,09,47.18,0.47,00_09_00_00
Farmer_Drought_Measure_Costs,G&Wp,average,100,00,0.0,0.0,00_00_00_00
Farmer_Drought_Measure_Costs,G&Wp,average,100,01,101.83,0.56,00_01_00_00
Farmer_Drought_Measure_Costs,G&Wp,average,100,03,102.14,0.57,00_03_00_00
Farmer_Drought_Measure_Costs,G&Wp,average,100,05,148.25,0.82,00_05_00_00
Farmer_Drought_Measure_Costs,G&Wp,average,100,06,124.72,0.69,00_06_00_00
Farmer_Drought_Measure_Costs,G&Wp,average,100,07,88.71,0.49,00_07_00_00
Farmer_Drought_Measure_Costs,G&Wp,average,100,08,77.08,0.43,00_08_00_00
Farmer_Drought_Measure_Costs,G&Wp,average,100,09,119.08,0.66,00_09_00_00
Farmer_Drought_Measure_Costs,Wp,average,20,00,0.0,0.0,00_00_00_00
Farmer_Drought_Measure_Costs,Wp,average,20,01,3.21,0.12,00_01_00_00
Farmer_Drought_Measure_Costs,Wp,average,20,03,5.22,0.21,00_03_00_00
Farmer_Drought_Measure_Costs,Wp,average,20,05,11.92,0.48,00_05_00_00
Farmer_Drought_Measure_Costs,Wp,average,20,06,8.47,0.34,00_06_00_00
Farmer_Drought_Measure_Costs,Wp,average,20,07,9.87,0.39,00_07_00_00
Farmer_Drought_Measure_Costs,Wp,average,20,08,7.04,0.28,00_08_00_00
Farmer_Drought_Measure_Costs,Wp,average,20,09,0.7,0.03,00_09_00_00
Farmer_Drought_Measure_Costs,Wp,average,60,00,0.0,0.0,00_00_00_00
Farmer_Drought_Measure_Costs,Wp,average,60,01,54.7,0.55,00_01_00_00
Farmer_Drought_Measure_Costs,Wp,average,60,03,53.89,0.54,00_03_00_00
Farmer_Drought_Measure_Costs,Wp,average,60,05,82.84,0.83,00_05_00_00
Farmer_Drought_Measure_Costs,Wp,average,60,06,68.36,0.68,00_06_00_00
Farmer_Drought_Measure_Costs,Wp,average,60,07,63.23,0.63,00_07_00_00
Farmer_Drought_Measure_Costs,Wp,average,60,08,48.44,0.48,00_08_00_00
Farmer_Drought_Measure_Costs,Wp,average,60,09,54.08,0.54,00_09_00_00
Farmer_Drought_Measure_Costs,Wp,average,100,00,0.0,0.0,00_00_00_00
Farmer_Drought_Measure_Costs,Wp,average,100,01,121.74,0.68,00_01_00_00
Farmer_Drought_Measure_Costs,Wp,average,100,03,121.04,0.67,00_03_00_00
Farmer_Drought_Measure_Costs,Wp,average,100,05,154.37,0.86,00_05_00_00
Farmer_Drought_Measure_Costs,Wp,average,100,06,135.38,0.75,00_06_00_00
Farmer_Drought_Measure_Costs,Wp,average,100,07,133.95,0.75,00_07_00_00
Farmer_Drought_Measure_Costs,Wp,average,100,08,118.7,0.66,00_08_00_00
Farmer_Drought_Measure_Costs,Wp,average,100,09,128.01,0.71,00_09_00_00
