objective_parameter,scenario_of_interest,robustness_metric,year,drought_agr,Value,normalized_values,pw_combi
Crop_Loss,D&G&Wp,average,20,05,32.72,0.81,00_05_00_00
Crop_Loss,D&G&Wp,average,20,06,34.84,0.86,00_06_00_00
Crop_Loss,D&G&Wp,average,20,07,24.65,0.61,00_07_00_00
Crop_Loss,D&G&Wp,average,20,08,25.3,0.62,00_08_00_00
Crop_Loss,D&G&Wp,average,20,09,34.95,0.86,00_09_00_00
Crop_Loss,D&G&Wp,average,60,00,178.62,1.0,00_00_00_00
Crop_Loss,D&G&Wp,average,60,01,122.58,0.69,00_01_00_00
Crop_Loss,D&G&Wp,average,60,03,119.41,0.67,00_03_00_00
Crop_Loss,D&G&Wp,average,60,05,65.78,0.37,00_05_00_00
Crop_Loss,D&G&Wp,average,60,06,80.92,0.45,00_06_00_00
Crop_Loss,D&G&Wp,average,60,07,58.76,0.33,00_07_00_00
Crop_Loss,D&G&Wp,average,60,08,74.55,0.42,00_08_00_00
Crop_Loss,D&G&Wp,average,60,09,113.73,0.64,00_09_00_00
Crop_Loss,D&G&Wp,average,100,00,341.08,1.0,00_00_00_00
Crop_Loss,D&G&Wp,average,100,01,199.9,0.59,00_01_00_00
Crop_Loss,D&G&Wp,average,100,03,196.73,0.58,00_03_00_00
Crop_Loss,D&G&Wp,average,100,05,111.12,0.33,00_05_00_00
Crop_Loss,D&G&Wp,average,100,06,115.57,0.34,00_06_00_00
Crop_Loss,D&G&Wp,average,100,07,100.26,0.29,00_07_00_00
Crop_Loss,D&G&Wp,average,100,08,139.18,0.41,00_08_00_00
Crop_Loss,D&G&Wp,average,100,09,183.52,0.54,00_09_00_00
Crop_Loss,D&Wp,average,20,00,42.96,1.0,00_00_00_00
Crop_Loss,D&Wp,average,20,01,43.95,1.02,00_01_00_00
Crop_Loss,D&Wp,average,20,03,40.83,0.95,00_03_00_00
Crop_Loss,D&Wp,average,20,05,33.85,0.79,00_05_00_00
Crop_Loss,D&Wp,average,20,06,36.42,0.85,00_06_00_00
Crop_Loss,D&Wp,average,20,07,24.88,0.58,00_07_00_00
Crop_Loss,D&Wp,average,20,08,25.67,0.6,00_08_00_00
Crop_Loss,D&Wp,average,20,09,36.68,0.85,00_09_00_00
Crop_Loss,D&Wp,average,60,00,199.77,1.0,00_00_00_00
Crop_Loss,D&Wp,average,60,01,131.8,0.66,00_01_00_00
Crop_Loss,D&Wp,average,60,03,128.63,0.64,00_03_00_00
Crop_Loss,D&Wp,average,60,05,69.84,0.35,00_05_00_00
Crop_Loss,D&Wp,average,60,06,84.65,0.42,00_06_00_00
