objective_parameter,scenario_of_interest,robustness_metric,year,drought_agr,Value,normalized_values,pw_combi
Crop_Loss,G,average,100,01,141.89,0.61,00_01_00_00
Crop_Loss,G,average,100,03,140.65,0.6,00_03_00_00
Crop_Loss,G,average,100,05,78.09,0.34,00_05_00_00
Crop_Loss,G,average,100,06,92.98,0.4,00_06_00_00
Crop_Loss,G,average,100,07,76.25,0.33,00_07_00_00
Crop_Loss,G,average,100,08,85.9,0.37,00_08_00_00
Crop_Loss,G,average,100,09,136.41,0.59,00_09_00_00
Crop_Loss,G&Wp,average,20,00,42.82,0.98,00_00_00_00
Crop_Loss,G&Wp,average,20,01,43.64,1.0,00_01_00_00
Crop_Loss,G&Wp,average,20,03,40.57,0.93,00_03_00_00
Crop_Loss,G&Wp,average,20,05,33.5,0.77,00_05_00_00
Crop_Loss,G&Wp,average,20,06,36.02,0.83,00_06_00_00
Crop_Loss,G&Wp,average,20,07,24.03,0.55,00_07_00_00
Crop_Loss,G&Wp,average,20,08,24.77,0.57,00_08_00_00
Crop_Loss,G&Wp,average,20,09,36.15,0.83,00_09_00_00
Crop_Loss,G&Wp,average,60,00,206.5,1.0,00_00_00_00
Crop_Loss,G&Wp,average,60,01,126.64,0.61,00_01_00_00
Crop_Loss,G&Wp,average,60,03,124.1,0.6,00_03_00_00
Crop_Loss,G&Wp,average,60,05,68.36,0.33,00_05_00_00
Crop_Loss,G&Wp,average,60,06,84.48,0.41,00_06_00_00
Crop_Loss,G&Wp,average,60,07,61.71,0.3,00_07_00_00
Crop_Loss,G&Wp,average,60,08,79.88,0.39,00_08_00_00
Crop_Loss,G&Wp,average,60,09,118.42,0.57,00_09_00_00
Crop_Loss,G&Wp,average,100,00,410.43,0.99,00_00_00_00
Crop_Loss,G&Wp,average,100,01,195.72,0.47,00_01_00_00
Crop_Loss,G&Wp,average,100,03,194.45,0.47,00_03_00_00
Crop_Loss,G&Wp,average,100,05,114.26,0.28,00_05_00_00
Crop_Loss,G&Wp,average,100,06,114.7,0.28,00_06_00_00
Crop_Loss,G&Wp,average,100,07,100.23,0.24,00_07_00_00
Crop_Loss,G&Wp,average,100,08,145.34,0.35,00_08_00_00
Crop_Loss,G&Wp,average,100,09,176.79,0.43,00_09_00_00
Crop_Loss,Wp,average,20,00,50.68,0.99,00_00_00_00
Crop_Loss,Wp,average,20,01,51.39,1.0,00_01_00_00
Crop_Loss,Wp,average,20,03,47.7,0.93,00_03_00_00
Crop_Loss,Wp,average,20,05,37.54,0.73,00_05_00_00
Crop_Loss,Wp,average,20,06,41.4,0.8,00_06_00_00
Crop_Loss,Wp,average,20,07,25.04,0.49,00_07_00_00
Crop_Loss,Wp,average,20,08,26.15,0.51,00_08_00_00
Crop_Loss,Wp,average,20,09,41.92,0.81,00_09_00_00
Crop_Loss,Wp,average,60,00,275.94,1.0,00_00_00_00
Crop_Loss,Wp,average,60,01,154.22,0.56,00_01_00_00
Crop_Loss,Wp,average,60,03,151.4,0.55,00_03_00_00
Crop_Loss,Wp,average,60,05,80.26,0.29,00_05_00_00
Crop_Loss,Wp,average,60,06,96.28,0.35,00_06_00_00
Crop_Loss,Wp,average,60,07,73.1,0.27,00_07_00_00
Crop_Loss,Wp,average,60,08,103.29,0.37,00_08_00_00
Crop_Loss,Wp,average,60,09,143.33,0.52,00_09_00_00
Crop_Loss,Wp,average,100,00,590.3,0.99,00_00_00_00
Crop_Loss,Wp,average,100,01,249.56,0.42,00_01_00_00
Crop_Loss,Wp,average,100,03,248.26,0.42,00_03_00_00
Crop_Loss,Wp,average,100,05,150.43,0.25,00_05_00_00
Crop_Loss,Wp,average,100,06,136.42,0.23,00_06_00_00
Crop_Loss,Wp,average,100,07,124.21,0.21,00_07_00_00
Crop_Loss,Wp,average,100,08,204.78,0.34,00_08_00_00
Crop_Loss,Wp,average,100,09,217.17,0.37,00_09_00_00
Farmer_Drought_Measure_Costs,D,average,20,00,0.0,0.0,00_00_00_00
Farmer_Drought_Measure_Costs,D,average,20,01,1.87,0.08,00_01_00_00
Farmer_Drought_Measure_Costs,D,average,20,03,5.13,0.21,00_03_00_00
Farmer_Drought_Measure_Costs,D,average,20,05,7.81,0.31,00_05_00_00
Farmer_Drought_Measure_Costs,D,average,20,06,6.53,0.26,00_06_00_00
Farmer_Drought_Measure_Costs,D,average,20,07,7.66,0.31,00_07_00_00
Farmer_Drought_Measure_Costs,D,average,20,08,6.58,0.26,00_08_00_00
Farmer_Drought_Measure_Costs,D,average,20,09,0.47,0.02,00_09_00_00
Farmer_Drought_Measure_Costs,D,average,60,00,0.0,0.0,00_00_00_00
Farmer_Drought_Measure_Costs,D,average,60,01,31.75,0.32,00_01_00_00
Farmer_Drought_Measure_Costs,D,average,60,03,31.11,0.31,00_03_00_00
Farmer_Drought_Measure_Costs,D,average,60,05,67.15,0.67,00_05_00_00
Farmer_Drought_Measure_Costs,D,average,60,06,48.74,0.49,00_06_00_00
Farmer_Drought_Measure_Costs,D,average,60,07,19.25,0.19,00_07_00_00
Farmer_Drought_Measure_Costs,D,average,60,08,12.35,0.12,00_08_00_00
Farmer_Drought_Measure_Costs,D,average,60,09,35.13,0.35,00_09_00_00
Farmer_Drought_Measure_Costs,D,average,100,00,0.0,0.0,00_00_00_00
Farmer_Drought_Measure_Costs,D,average,100,01,67.47,0.37,00_01_00_00
Farmer_Drought_Measure_Costs,D,average,100,03,68.54,0.38,00_03_00_00
Farmer_Drought_Measure_Costs,D,average,100,05,131.2,0.73,00_05_00_00
Farmer_Drought_Measure_Costs,D,average,100,06,105.5,0.59,00_06_00_00
Farmer_Drought_Measure_Costs,D,average,100,07,30.7,0.17,00_07_00_00
Farmer_Drought_Measure_Costs,D,average,100,08,18.05,0.1,00_08_00_00
Farmer_Drought_Measure_Costs,D,average,100,09,99.61,0.55,00_09_00_00
Farmer_Drought_Measure_Costs,D&G,average,20,00,0.0,0.0,00_00_00_00
Farmer_Drought_Measure_Costs,D&G,average,20,01,2.17,0.09,00_01_00_00
Farmer_Drought_Measure_Costs,D&G,average,20,03,5.14,0.21,00_03_00_00
Farmer_Drought_Measure_Costs,D&G,average,20,05,8.43,0.33,00_05_00_00
Farmer_Drought_Measure_Costs,D&G,average,20,06,6.83,0.28,00_06_00_00
Farmer_Drought_Measure_Costs,D&G,average,20,07,7.7,0.31,00_07_00_00
Farmer_Drought_Measure_Costs,D&G,average,20,08,6.63,0.27,00_08_00_00
Farmer_Drought_Measure_Costs,D&G,average,20,09,0.49,0.02,00_09_00_00
Farmer_Drought_Measure_Costs,D&G,average,60,00,0.0,0.0,00_00_00_00
Farmer_Drought_Measure_Costs,D&G,average,60,01,33.44,0.33,00_01_00_00
Farmer_Drought_Measure_Costs,D&G,average,60,03,32.91,0.33,00_03_00_00
