objective_parameter,scenario_of_interest,robustness_metric,year,drought_agr,Value,normalized_values,pw_combi
Farmer_Drought_Measure_Costs,G,average,20,01,2.41,0.1,00_01_00_00
Farmer_Drought_Measure_Costs,G,average,20,03,5.16,0.21,00_03_00_00
Farmer_Drought_Measure_Costs,G,average,20,05,9.06,0.36,00_05_00_00
Farmer_Drought_Measure_Costs,G,average,20,06,7.11,0.29,00_06_00_00
Farmer_Drought_Measure_Costs,G,average,20,07,7.74,0.31,00_07_00_00
Farmer_Drought_Measure_Costs,G,average,20,08,6.66,0.27,00_08_00_00
Farmer_Drought_Measure_Costs,G,average,20,09,0.52,0.02,00_09_00_00
Farmer_Drought_Measure_Costs,G,average,60,00,0.0,0.0,00_00_00_00
Farmer_Drought_Measure_Costs,G,average,60,01,35.98,0.36,00_01_00_00
Farmer_Drought_Measure_Costs,G,average,60,03,35.47,0.36,00_03_00_00
Farmer_Drought_Measure_Costs,G,average,60,05,74.01,0.74,00_05_00_00
Farmer_Drought_Measure_Costs,G,average,60,06,52.26,0.52,00_06_00_00
Farmer_Drought_Measure_Costs,G,average,60,07,25.49,0.26,00_07_00_00
Farmer_Drought_Measure_Costs,G,average,60,08,19.27,0.2,00_08_00_00
Farmer_Drought_Measure_Costs,G,average,60,09,39.87,0.4,00_09_00_00
Farmer_Drought_Measure_Costs,G,average,100,00,0.0,0.0,00_00_00_00
Farmer_Drought_Measure_Costs,G,average,100,01,87.26,0.48,00_01_00_00
Farmer_Drought_Measure_Costs,G,average,100,03,86.75,0.48,00_03_00_00
Farmer_Drought_Measure_Costs,G,average,100,05,139.8,0.78,00_05_00_00
Farmer_Drought_Measure_Costs,G,average,100,06,111.49,0.62,00_06_00_00
Farmer_Drought_Measure_Costs,G,average,100,07,43.14,0.24,00_07_00_00
Farmer_Drought_Measure_Costs,G,average,100,08,36.48,0.2,00_08_00_00
Farmer_Drought_Measure_Costs,G,average,100,09,110.6,0.62,00_09_00_00
Farmer_Drought_Measure_Costs,G&Wp,average,20,00,0.0,0.0,00_00_00_00
Farmer_Drought_Measure_Costs,G&Wp,average,20,01,2.72,0.11,00_01_00_00
Farmer_Drought_Measure_Costs,G&Wp,average,20,03,5.19,0.21,00_03_00_00
Farmer_Drought_Measure_Costs,G&Wp,average,20,05,10.41,0.41,00_05_00_00
Farmer_Drought_Measure_Costs,G&Wp,average,20,06,7.76,0.31,00_06_00_00
