objective_parameter,scenario_of_interest,robustness_metric,year,flood_agr,Value,normalized_values,pw_combi
Farmer_Flood_Measure_Costs,D&Wp,average,100,03,26.77,0.05,03_00_00_00
Farmer_Flood_Measure_Costs,D&Wp,average,100,05,111.21,0.22,05_00_00_00
Farmer_Flood_Measure_Costs,D&Wp,average,100,07,112.23,0.22,07_00_00_00
Farmer_Flood_Measure_Costs,D&Wp,average,100,09,157.94,0.32,09_00_00_00
Farmer_Flood_Measure_Costs,D&Wp,average,100,11,81.98,0.16,11_00_00_00
Farmer_Flood_Measure_Costs,D&Wp,average,100,13,86.2,0.17,13_00_00_00
Farmer_Flood_Measure_Costs,G,average,20,00,0.0,0.0,00_00_00_00
Farmer_Flood_Measure_Costs,G,average,20,01,0.06,0.0,01_00_00_00
Farmer_Flood_Measure_Costs,G,average,20,03,0.03,0.0,03_00_00_00
Farmer_Flood_Measure_Costs,G,average,20,05,21.0,0.14,05_00_00_00
Farmer_Flood_Measure_Costs,G,average,20,07,26.62,0.18,07_00_00_00
Farmer_Flood_Measure_Costs,G,average,20,09,3.01,0.02,09_00_00_00
Farmer_Flood_Measure_Costs,G,average,20,11,0.06,0.0,11_00_00_00
Farmer_Flood_Measure_Costs,G,average,20,13,0.51,0.01,13_00_00_00
Farmer_Flood_Measure_Costs,G,average,60,00,0.0,0.0,00_00_00_00
Farmer_Flood_Measure_Costs,G,average,60,01,12.43,0.04,01_00_00_00
Farmer_Flood_Measure_Costs,G,average,60,03,10.47,0.03,03_00_00_00
Farmer_Flood_Measure_Costs,G,average,60,05,94.12,0.27,05_00_00_00
Farmer_Flood_Measure_Costs,G,average,60,07,94.15,0.26,07_00_00_00
Farmer_Flood_Measure_Costs,G,average,60,09,60.72,0.18,09_00_00_00
Farmer_Flood_Measure_Costs,G,average,60,11,24.98,0.07,11_00_00_00
Farmer_Flood_Measure_Costs,G,average,60,13,54.44,0.16,13_00_00_00
Farmer_Flood_Measure_Costs,G,average,100,00,0.0,0.0,00_00_00_00
Farmer_Flood_Measure_Costs,G,average,100,01,17.44,0.03,01_00_00_00
Farmer_Flood_Measure_Costs,G,average,100,03,14.52,0.03,03_00_00_00
Farmer_Flood_Measure_Costs,G,average,100,05,105.47,0.21,05_00_00_00
Farmer_Flood_Measure_Costs,G,average,100,07,106.78,0.21,07_00_00_00
Farmer_Flood_Measure_Costs,G,average,100,09,150.05,0.3,09_00_00_00
Farmer_Flood_Measure_Costs,G,average,100,11,73.86,0.15,11_00_00_00
Farmer_Flood_Measure_Costs,G,average,100,13,82.51,0.17,13_00_00_00
Farmer_Flood_Measure_Costs,G&Wp,average,20,00,0.0,0.0,00_00_00_00
Farmer_Flood_Measure_Costs,G&Wp,average,20,01,0.05,0.0,01_00_00_00
Farmer_Flood_Measure_Costs,G&Wp,average,20,03,0.02,0.0,03_00_00_00
Farmer_Flood_Measure_Costs,G&Wp,average,20,05,21.0,0.14,05_00_00_00
Farmer_Flood_Measure_Costs,G&Wp,average,20,07,26.62,0.18,07_00_00_00
Farmer_Flood_Measure_Costs,G&Wp,average,20,09,2.65,0.02,09_00_00_00
Farmer_Flood_Measure_Costs,G&Wp,average,20,11,0.05,0.0,11_00_00_00
