objective_parameter,scenario_of_interest,robustness_metric,year,drought_shp,Value,normalized_values,pw_combi
Delayed_Ships_[#],G&Wp,average,20,5,140.0,0.58,00_00_00_05
Delayed_Ships_[#],G&Wp,average,20,7,110.0,0.46,00_00_00_07
Delayed_Ships_[#],G&Wp,average,20,8,110.0,0.46,00_00_00_08
Delayed_Ships_[#],G&Wp,average,20,9,110.0,0.46,00_00_00_09
Delayed_Ships_[#],G&Wp,average,60,0,630.0,1.0,00_00_00_00
Delayed_Ships_[#],G&Wp,average,60,1,310.0,0.49,00_00_00_01
Delayed_Ships_[#],G&Wp,average,60,2,460.0,0.72,00_00_00_02
Delayed_Ships_[#],G&Wp,average,60,4,430.0,0.67,00_00_00_04
Delayed_Ships_[#],G&Wp,average,60,5,360.0,0.57,00_00_00_05
Delayed_Ships_[#],G&Wp,average,60,7,190.0,0.29,00_00_00_07
Delayed_Ships_[#],G&Wp,average,60,8,190.0,0.29,00_00_00_08
Delayed_Ships_[#],G&Wp,average,60,9,190.0,0.29,00_00_00_09
Delayed_Ships_[#],G&Wp,average,100,0,1110.0,1.0,00_00_00_00
Delayed_Ships_[#],G&Wp,average,100,1,460.0,0.41,00_00_00_01
Delayed_Ships_[#],G&Wp,average,100,2,670.0,0.6,00_00_00_02
Delayed_Ships_[#],G&Wp,average,100,4,650.0,0.58,00_00_00_04
Delayed_Ships_[#],G&Wp,average,100,5,560.0,0.5,00_00_00_05
Delayed_Ships_[#],G&Wp,average,100,7,310.0,0.27,00_00_00_07
Delayed_Ships_[#],G&Wp,average,100,8,310.0,0.27,00_00_00_08
Delayed_Ships_[#],G&Wp,average,100,9,310.0,0.27,00_00_00_09
Delayed_Ships_[#],Wp,average,20,0,240.0,1.0,00_00_00_00
Delayed_Ships_[#],Wp,average,20,1,190.0,0.77,00_00_00_01
Delayed_Ships_[#],Wp,average,20,2,210.0,0.86,00_00_00_02
Delayed_Ships_[#],Wp,average,20,4,140.0,0.57,00_00_00_04
Delayed_Ships_[#],Wp,average,20,5,140.0,0.57,00_00_00_05
Delayed_Ships_[#],Wp,average,20,7,110.0,0.45,00_00_00_07
Delayed_Ships_[#],Wp,average,20,8,110.0,0.45,00_00_00_08
Delayed_Ships_[#],Wp,average,20,9,110.0,0.45,00_00_00_09
Delayed_Ships_[#],Wp,average,60,0,720.0,1.0,00_00_00_00
Delayed_Ships_[#],Wp,average,60,1,310.0,0.43,00_00_00_01
Delayed_Ships_[#],Wp,average,60,2,450.0,0.62,00_00_00_02
Delayed_Ships_[#],Wp,average,60,4,410.0,0.56,00_00_00_04
Delayed_Ships_[#],Wp,average,60,5,330.0,0.45,00_00_00_05
