objective_parameter,scenario_of_interest,robustness_metric,year,flood_agr,Value,normalized_values,pw_combi
Crop_Productivity_Loss_[%],G,average,20,0,20.0,0.87,00_00_00_00
Crop_Productivity_Loss_[%],G,average,20,1,20.0,0.87,01_00_00_00
Crop_Productivity_Loss_[%],G,average,20,3,20.0,0.9,03_00_00_00
Crop_Productivity_Loss_[%],G,average,20,5,20.0,0.82,05_00_00_00
Crop_Productivity_Loss_[%],G,average,20,7,20.0,0.82,07_00_00_00
Crop_Productivity_Loss_[%],G,average,20,9,20.0,0.87,09_00_00_00
Crop_Productivity_Loss_[%],G,average,20,11,20.0,0.87,11_00_00_00
Crop_Productivity_Loss_[%],G,average,20,13,20.0,0.86,13_00_00_00
Crop_Productivity_Loss_[%],G,average,60,0,20.0,0.62,00_00_00_00
Crop_Productivity_Loss_[%],G,average,60,1,20.0,0.68,01_00_00_00
Crop_Productivity_Loss_[%],G,average,60,3,20.0,0.75,03_00_00_00
Crop_Productivity_Loss_[%],G,average,60,5,20.0,0.53,05_00_00_00
Crop_Productivity_Loss_[%],G,average,60,7,20.0,0.52,07_00_00_00
Crop_Productivity_Loss_[%],G,average,60,9,20.0,0.7,09_00_00_00
Crop_Productivity_Loss_[%],G,average,60,11,20.0,0.61,11_00_00_00
Crop_Productivity_Loss_[%],G,average,60,13,20.0,0.57,13_00_00_00
Crop_Productivity_Loss_[%],G,average,100,0,20.0,0.57,00_00_00_00
Crop_Productivity_Loss_[%],G,average,100,1,20.0,0.64,01_00_00_00
Crop_Productivity_Loss_[%],G,average,100,3,20.0,0.71,03_00_00_00
Crop_Productivity_Loss_[%],G,average,100,5,20.0,0.43,05_00_00_00
Crop_Productivity_Loss_[%],G,average,100,7,10.0,0.42,07_00_00_00
Crop_Productivity_Loss_[%],G,average,100,9,20.0,0.68,09_00_00_00
Crop_Productivity_Loss_[%],G,average,100,11,20.0,0.56,11_00_00_00
Crop_Productivity_Loss_[%],G,average,100,13,20.0,0.47,13_00_00_00
Crop_Productivity_Loss_[%],G&Wp,average,20,0,20.0,0.83,00_00_00_00
Crop_Productivity_Loss_[%],G&Wp,average,20,1,20.0,0.84,01_00_00_00
Crop_Productivity_Loss_[%],G&Wp,average,20,3,20.0,0.86,03_00_00_00
Crop_Productivity_Loss_[%],G&Wp,average,20,5,20.0,0.79,05_00_00_00
Crop_Productivity_Loss_[%],G&Wp,average,20,7,20.0,0.79,07_00_00_00
Crop_Productivity_Loss_[%],G&Wp,average,20,9,20.0,0.83,09_00_00_00
Crop_Productivity_Loss_[%],G&Wp,average,20,11,20.0,0.84,11_00_00_00
Crop_Productivity_Loss_[%],G&Wp,average,20,13,20.0,0.83,13_00_00_00
Crop_Productivity_Loss_[%],G&Wp,average,60,0,20.0,0.55,00_00_00_00
Crop_Productivity_Loss_[%],G&Wp,average,60,1,30.0,0.58,01_00_00_00
Crop_Productivity_Loss_[%],G&Wp,average,60,3,30.0,0.62,03_00_00_00
