objective_parameter,scenario_of_interest,robustness_metric,year,flood_agr,Value,normalized_values,pw_combi
Farmer_Flood_Costs_[MEUR],D&Wp,average,20,11,10.0,0.0,11_00_00_00
Farmer_Flood_Costs_[MEUR],D&Wp,average,20,13,10.0,0.01,13_00_00_00
Farmer_Flood_Costs_[MEUR],D&Wp,average,60,0,0.0,0.0,00_00_00_00
Farmer_Flood_Costs_[MEUR],D&Wp,average,60,1,20.0,0.06,01_00_00_00
Farmer_Flood_Costs_[MEUR],D&Wp,average,60,3,20.0,0.05,03_00_00_00
Farmer_Flood_Costs_[MEUR],D&Wp,average,60,5,110.0,0.29,05_00_00_00
Farmer_Flood_Costs_[MEUR],D&Wp,average,60,7,110.0,0.3,07_00_00_00
Farmer_Flood_Costs_[MEUR],D&Wp,average,60,9,70.0,0.18,09_00_00_00
Farmer_Flood_Costs_[MEUR],D&Wp,average,60,11,30.0,0.07,11_00_00_00
Farmer_Flood_Costs_[MEUR],D&Wp,average,60,13,60.0,0.17,13_00_00_00
Farmer_Flood_Costs_[MEUR],D&Wp,average,100,0,0.0,0.0,00_00_00_00
Farmer_Flood_Costs_[MEUR],D&Wp,average,100,1,30.0,0.06,01_00_00_00
Farmer_Flood_Costs_[MEUR],D&Wp,average,100,3,30.0,0.06,03_00_00_00
Farmer_Flood_Costs_[MEUR],D&Wp,average,100,5,120.0,0.22,05_00_00_00
Farmer_Flood_Costs_[MEUR],D&Wp,average,100,7,120.0,0.22,07_00_00_00
Farmer_Flood_Costs_[MEUR],D&Wp,average,100,9,170.0,0.32,09_00_00_00
Farmer_Flood_Costs_[MEUR],D&Wp,average,100,11,90.0,0.17,11_00_00_00
Farmer_Flood_Costs_[MEUR],D&Wp,average,100,13,90.0,0.17,13_00_00_00
Farmer_Flood_Costs_[MEUR],G,average,20,0,0.0,0.0,00_00_00_00
Farmer_Flood_Costs_[MEUR],G,average,20,1,10.0,0.0,01_00_00_00
Farmer_Flood_Costs_[MEUR],G,average,20,3,10.0,0.0,03_00_00_00
Farmer_Flood_Costs_[MEUR],G,average,20,5,30.0,0.14,05_00_00_00
Farmer_Flood_Costs_[MEUR],G,average,20,7,30.0,0.18,07_00_00_00
Farmer_Flood_Costs_[MEUR],G,average,20,9,10.0,0.02,09_00_00_00
Farmer_Flood_Costs_[MEUR],G,average,20,11,10.0,0.0,11_00_00_00
Farmer_Flood_Costs_[MEUR],G,average,20,13,10.0,0.01,13_00_00_00
Farmer_Flood_Costs_[MEUR],G,average,60,0,0.0,0.0,00_00_00_00
Farmer_Flood_Costs_[MEUR],G,average,60,1,20.0,0.04,01_00_00_00
Farmer_Flood_Costs_[MEUR],G,average,60,3,20.0,0.03,03_00_00_00
Farmer_Flood_Costs_[MEUR],G,average,60,5,100.0,0.28,05_00_00_00
Farmer_Flood_Costs_[MEUR],G,average,60,7,100.0,0.28,07_00_00_00
Farmer_Flood_Costs_[MEUR],G,average,60,9,70.0,0.18,09_00_00_00
Farmer_Flood_Costs_[MEUR],G,average,60,11,30.0,0.07,11_00_00_00
Farmer_Flood_Costs_[MEUR],G,average,60,13,60.0,0.16,13_00_00_00
Farmer_Flood_Costs_[MEUR],G,average,100,0,0.0,0.0,00_00_00_00
Farmer_Flood_Costs_[MEUR],G,average,100,1,20.0,0.04,01_00_00_00
Farmer_Flood_Costs_[MEUR],G,average,100,3,20.0,0.03,03_00_00_00
Farmer_Flood_Costs_[MEUR],G,average,100,5,120.0,0.22,05_00_00_00
Farmer_Flood_Costs_[MEUR],G,average,100,7,110.0,0.21,07_00_00_00
Farmer_Flood_Costs_[MEUR],G,average,100,9,160.0,0.31,09_00_00_00
Farmer_Flood_Costs_[MEUR],G,average,100,11,80.0,0.15,11_00_00_00
Farmer_Flood_Costs_[MEUR],G,average,100,13,90.0,0.17,13_00_00_00
Farmer_Flood_Costs_[MEUR],G&Wp,average,20,0,0.0,0.0,00_00_00_00
Farmer_Flood_Costs_[MEUR],G&Wp,average,20,1,10.0,0.0,01_00_00_00
Farmer_Flood_Costs_[MEUR],G&Wp,average,20,3,10.0,0.0,03_00_00_00
Farmer_Flood_Costs_[MEUR],G&Wp,average,20,5,30.0,0.14,05_00_00_00
Farmer_Flood_Costs_[MEUR],G&Wp,average,20,7,30.0,0.18,07_00_00_00
Farmer_Flood_Costs_[MEUR],G&Wp,average,20,9,10.0,0.02,09_00_00_00
Farmer_Flood_Costs_[MEUR],G&Wp,average,20,11,10.0,0.0,11_00_00_00
