objective_parameter,scenario_of_interest,robustness_metric,year,flood_agr,Value,normalized_values,pw_combi
Farmer_Flood_Costs_[MEUR],G&Wp,average,60,11,60.0,0.16,11_00_00_00
Farmer_Flood_Costs_[MEUR],G&Wp,average,60,13,100.0,0.27,13_00_00_00
Farmer_Flood_Costs_[MEUR],G&Wp,average,100,0,0.0,0.0,00_00_00_00
Farmer_Flood_Costs_[MEUR],G&Wp,average,100,1,100.0,0.19,01_00_00_00
Farmer_Flood_Costs_[MEUR],G&Wp,average,100,3,90.0,0.18,03_00_00_00
Farmer_Flood_Costs_[MEUR],G&Wp,average,100,5,150.0,0.29,05_00_00_00
Farmer_Flood_Costs_[MEUR],G&Wp,average,100,7,150.0,0.28,07_00_00_00
Farmer_Flood_Costs_[MEUR],G&Wp,average,100,9,300.0,0.59,09_00_00_00
Farmer_Flood_Costs_[MEUR],G&Wp,average,100,11,260.0,0.52,11_00_00_00
Farmer_Flood_Costs_[MEUR],G&Wp,average,100,13,170.0,0.33,13_00_00_00
Farmer_Flood_Costs_[MEUR],Wp,average,20,0,0.0,0.0,00_00_00_00
