objective_parameter,scenario_of_interest,robustness_metric,year,flood_urb,Value,normalized_values,pw_combi
Municipality_Measure_Costs,D&G,average,60,05,135.92,0.25,00_00_05_00
Municipality_Measure_Costs,D&G,average,60,07,351.81,0.64,00_00_07_00
Municipality_Measure_Costs,D&G,average,60,09,150.06,0.27,00_00_09_00
Municipality_Measure_Costs,D&G,average,60,11,175.31,0.32,00_00_11_00
Municipality_Measure_Costs,D&G,average,60,13,219.35,0.4,00_00_13_00
Municipality_Measure_Costs,D&G,average,100,00,0.0,0.0,00_00_00_00
Municipality_Measure_Costs,D&G,average,100,01,191.8,0.27,00_00_01_00
Municipality_Measure_Costs,D&G,average,100,03,185.74,0.26,00_00_03_00
Municipality_Measure_Costs,D&G,average,100,05,147.73,0.2,00_00_05_00
Municipality_Measure_Costs,D&G,average,100,07,371.66,0.52,00_00_07_00
Municipality_Measure_Costs,D&G,average,100,09,150.06,0.21,00_00_09_00
Municipality_Measure_Costs,D&G,average,100,11,393.74,0.54,00_00_11_00
Municipality_Measure_Costs,D&G,average,100,13,478.58,0.66,00_00_13_00
Municipality_Measure_Costs,D&G&Wp,average,20,00,0.0,0.0,00_00_00_00
Municipality_Measure_Costs,D&G&Wp,average,20,01,20.81,0.07,00_00_01_00
Municipality_Measure_Costs,D&G&Wp,average,20,03,26.62,0.08,00_00_03_00
Municipality_Measure_Costs,D&G&Wp,average,20,05,56.0,0.17,00_00_05_00
Municipality_Measure_Costs,D&G&Wp,average,20,07,145.7,0.44,00_00_07_00
Municipality_Measure_Costs,D&G&Wp,average,20,09,71.0,0.22,00_00_09_00
Municipality_Measure_Costs,D&G&Wp,average,20,11,22.12,0.07,00_00_11_00
Municipality_Measure_Costs,D&G&Wp,average,20,13,36.17,0.11,00_00_13_00
Municipality_Measure_Costs,D&G&Wp,average,60,00,0.0,0.0,00_00_00_00
Municipality_Measure_Costs,D&G&Wp,average,60,01,110.77,0.2,00_00_01_00
Municipality_Measure_Costs,D&G&Wp,average,60,03,109.6,0.2,00_00_03_00
Municipality_Measure_Costs,D&G&Wp,average,60,05,135.92,0.25,00_00_05_00
Municipality_Measure_Costs,D&G&Wp,average,60,07,351.81,0.64,00_00_07_00
Municipality_Measure_Costs,D&G&Wp,average,60,09,150.06,0.27,00_00_09_00
Municipality_Measure_Costs,D&G&Wp,average,60,11,178.07,0.32,00_00_11_00
Municipality_Measure_Costs,D&G&Wp,average,60,13,231.04,0.42,00_00_13_00
Municipality_Measure_Costs,D&G&Wp,average,100,00,0.0,0.0,00_00_00_00
Municipality_Measure_Costs,D&G&Wp,average,100,01,189.48,0.26,00_00_01_00
Municipality_Measure_Costs,D&G&Wp,average,100,03,183.37,0.26,00_00_03_00
Municipality_Measure_Costs,D&G&Wp,average,100,05,148.53,0.2,00_00_05_00
Municipality_Measure_Costs,D&G&Wp,average,100,07,371.66,0.52,00_00_07_00
Municipality_Measure_Costs,D&G&Wp,average,100,09,153.52,0.22,00_00_09_00
Municipality_Measure_Costs,D&G&Wp,average,100,11,387.74,0.54,00_00_11_00
Municipality_Measure_Costs,D&G&Wp,average,100,13,473.96,0.66,00_00_13_00
Municipality_Measure_Costs,D&Wp,average,20,00,0.0,0.0,00_00_00_00
Municipality_Measure_Costs,D&Wp,average,20,01,21.0,0.07,00_00_01_00
Municipality_Measure_Costs,D&Wp,average,20,03,26.68,0.08,00_00_03_00
Municipality_Measure_Costs,D&Wp,average,20,05,56.0,0.17,00_00_05_00
Municipality_Measure_Costs,D&Wp,average,20,07,145.7,0.44,00_00_07_00
Municipality_Measure_Costs,D&Wp,average,20,09,71.0,0.22,00_00_09_00
Municipality_Measure_Costs,D&Wp,average,20,11,22.17,0.07,00_00_11_00
Municipality_Measure_Costs,D&Wp,average,20,13,35.75,0.11,00_00_13_00
Municipality_Measure_Costs,D&Wp,average,60,00,0.0,0.0,00_00_00_00
Municipality_Measure_Costs,D&Wp,average,60,01,111.32,0.2,00_00_01_00
Municipality_Measure_Costs,D&Wp,average,60,03,110.15,0.2,00_00_03_00
Municipality_Measure_Costs,D&Wp,average,60,05,135.92,0.25,00_00_05_00
Municipality_Measure_Costs,D&Wp,average,60,07,351.81,0.64,00_00_07_00
Municipality_Measure_Costs,D&Wp,average,60,09,150.06,0.27,00_00_09_00
Municipality_Measure_Costs,D&Wp,average,60,11,180.46,0.33,00_00_11_00
Municipality_Measure_Costs,D&Wp,average,60,13,231.43,0.42,00_00_13_00
Municipality_Measure_Costs,D&Wp,average,100,00,0.0,0.0,00_00_00_00
Municipality_Measure_Costs,D&Wp,average,100,01,189.54,0.26,00_00_01_00
Municipality_Measure_Costs,D&Wp,average,100,03,183.37,0.26,00_00_03_00
Municipality_Measure_Costs,D&Wp,average,100,05,148.92,0.2,00_00_05_00
Municipality_Measure_Costs,D&Wp,average,100,07,371.66,0.52,00_00_07_00
Municipality_Measure_Costs,D&Wp,average,100,09,155.25,0.22,00_00_09_00
Municipality_Measure_Costs,D&Wp,average,100,11,386.05,0.53,00_00_11_00
Municipality_Measure_Costs,D&Wp,average,100,13,470.11,0.66,00_00_13_00
Municipality_Measure_Costs,G,average,20,00,0.0,0.0,00_00_00_00
Municipality_Measure_Costs,G,average,20,01,20.42,0.06,00_00_01_00
Municipality_Measure_Costs,G,average,20,03,26.52,0.08,00_00_03_00
Municipality_Measure_Costs,G,average,20,05,56.0,0.17,00_00_05_00
Municipality_Measure_Costs,G,average,20,07,145.7,0.44,00_00_07_00
Municipality_Measure_Costs,G,average,20,09,71.0,0.22,00_00_09_00
Municipality_Measure_Costs,G,average,20,11,22.0,0.07,00_00_11_00
