objective_parameter,scenario_of_interest,robustness_metric,year,drought_shp,Value,normalized_values,pw_combi
Shipping_Measure_Costs,D&G&Wp,average,100,08,2717.9,0.82,00_00_00_08
Shipping_Measure_Costs,D&G&Wp,average,100,09,2717.9,0.82,00_00_00_09
Shipping_Measure_Costs,D&Wp,average,20,00,0.0,0.0,00_00_00_00
Shipping_Measure_Costs,D&Wp,average,20,01,618.79,0.48,00_00_00_01
Shipping_Measure_Costs,D&Wp,average,20,02,17.52,0.01,00_00_00_02
Shipping_Measure_Costs,D&Wp,average,20,04,41.71,0.03,00_00_00_04
Shipping_Measure_Costs,D&Wp,average,20,05,41.71,0.03,00_00_00_05
Shipping_Measure_Costs,D&Wp,average,20,07,1234.93,0.95,00_00_00_07
Shipping_Measure_Costs,D&Wp,average,20,08,1234.93,0.95,00_00_00_08
Shipping_Measure_Costs,D&Wp,average,20,09,1234.93,0.95,00_00_00_09
Shipping_Measure_Costs,D&Wp,average,60,00,0.0,0.0,00_00_00_00
Shipping_Measure_Costs,D&Wp,average,60,01,1449.45,0.67,00_00_00_01
Shipping_Measure_Costs,D&Wp,average,60,02,851.99,0.39,00_00_00_02
Shipping_Measure_Costs,D&Wp,average,60,04,889.33,0.41,00_00_00_04
Shipping_Measure_Costs,D&Wp,average,60,05,1410.84,0.66,00_00_00_05
Shipping_Measure_Costs,D&Wp,average,60,07,1977.19,0.92,00_00_00_07
Shipping_Measure_Costs,D&Wp,average,60,08,1977.19,0.92,00_00_00_08
Shipping_Measure_Costs,D&Wp,average,60,09,1977.19,0.92,00_00_00_09
Shipping_Measure_Costs,D&Wp,average,100,00,0.0,0.0,00_00_00_00
Shipping_Measure_Costs,D&Wp,average,100,01,2092.18,0.64,00_00_00_01
Shipping_Measure_Costs,D&Wp,average,100,02,1419.37,0.43,00_00_00_02
Shipping_Measure_Costs,D&Wp,average,100,04,1467.99,0.45,00_00_00_04
Shipping_Measure_Costs,D&Wp,average,100,05,2157.73,0.66,00_00_00_05
Shipping_Measure_Costs,D&Wp,average,100,07,2719.45,0.82,00_00_00_07
Shipping_Measure_Costs,D&Wp,average,100,08,2719.45,0.82,00_00_00_08
