objective_parameter,scenario_of_interest,robustness_metric,year,flood_urb,Value,normalized_values,pw_combi
Municipality_Measure_Costs,D&G&Wp,average,20,01,20.71,0.07,00_00_01_00
Municipality_Measure_Costs,D&G&Wp,average,20,03,26.42,0.08,00_00_03_00
Municipality_Measure_Costs,D&G&Wp,average,20,05,55.53,0.17,00_00_05_00
Municipality_Measure_Costs,D&G&Wp,average,20,07,144.58,0.44,00_00_07_00
Municipality_Measure_Costs,D&G&Wp,average,20,09,70.41,0.22,00_00_09_00
Municipality_Measure_Costs,D&G&Wp,average,20,11,22.05,0.07,00_00_11_00
Municipality_Measure_Costs,D&G&Wp,average,20,13,36.87,0.11,00_00_13_00
Municipality_Measure_Costs,D&G&Wp,average,60,00,0.0,0.0,00_00_00_00
Municipality_Measure_Costs,D&G&Wp,average,60,01,108.74,0.2,00_00_01_00
Municipality_Measure_Costs,D&G&Wp,average,60,03,107.74,0.2,00_00_03_00
Municipality_Measure_Costs,D&G&Wp,average,60,05,135.92,0.25,00_00_05_00
Municipality_Measure_Costs,D&G&Wp,average,60,07,350.64,0.64,00_00_07_00
Municipality_Measure_Costs,D&G&Wp,average,60,09,150.06,0.27,00_00_09_00
Municipality_Measure_Costs,D&G&Wp,average,60,11,176.85,0.32,00_00_11_00
Municipality_Measure_Costs,D&G&Wp,average,60,13,229.33,0.42,00_00_13_00
Municipality_Measure_Costs,D&G&Wp,average,100,00,0.0,0.0,00_00_00_00
Municipality_Measure_Costs,D&G&Wp,average,100,01,186.92,0.26,00_00_01_00
Municipality_Measure_Costs,D&G&Wp,average,100,03,180.79,0.25,00_00_03_00
Municipality_Measure_Costs,D&G&Wp,average,100,05,148.53,0.2,00_00_05_00
Municipality_Measure_Costs,D&G&Wp,average,100,07,371.66,0.52,00_00_07_00
Municipality_Measure_Costs,D&G&Wp,average,100,09,153.52,0.22,00_00_09_00
Municipality_Measure_Costs,D&G&Wp,average,100,11,384.82,0.53,00_00_11_00
Municipality_Measure_Costs,D&G&Wp,average,100,13,468.76,0.65,00_00_13_00
Municipality_Measure_Costs,D&Wp,average,20,00,0.0,0.0,00_00_00_00
Municipality_Measure_Costs,D&Wp,average,20,01,20.86,0.07,00_00_01_00
Municipality_Measure_Costs,D&Wp,average,20,03,26.37,0.08,00_00_03_00
Municipality_Measure_Costs,D&Wp,average,20,05,55.3,0.17,00_00_05_00
Municipality_Measure_Costs,D&Wp,average,20,07,144.02,0.44,00_00_07_00
Municipality_Measure_Costs,D&Wp,average,20,09,70.11,0.22,00_00_09_00
Municipality_Measure_Costs,D&Wp,average,20,11,22.08,0.07,00_00_11_00
Municipality_Measure_Costs,D&Wp,average,20,13,36.79,0.11,00_00_13_00
Municipality_Measure_Costs,D&Wp,average,60,00,0.0,0.0,00_00_00_00
