objective_parameter,scenario_of_interest,robustness_metric,year,flood_agr,Value,normalized_values,pw_combi
Crop_Loss,G&Wp,average,100,13,171.36,0.41,13_00_00_00
Crop_Loss,Wp,average,20,00,40.31,0.78,00_00_00_00
Crop_Loss,Wp,average,20,01,40.54,0.79,01_00_00_00
Crop_Loss,Wp,average,20,03,41.04,0.8,03_00_00_00
Crop_Loss,Wp,average,20,05,39.35,0.77,05_00_00_00
Crop_Loss,Wp,average,20,07,39.35,0.77,07_00_00_00
Crop_Loss,Wp,average,20,09,40.47,0.79,09_00_00_00
Crop_Loss,Wp,average,20,11,40.54,0.79,11_00_00_00
Crop_Loss,Wp,average,20,13,40.23,0.78,13_00_00_00
Crop_Loss,Wp,average,60,00,135.88,0.49,00_00_00_00
Crop_Loss,Wp,average,60,01,137.88,0.5,01_00_00_00
Crop_Loss,Wp,average,60,03,147.48,0.53,03_00_00_00
Crop_Loss,Wp,average,60,05,124.95,0.45,05_00_00_00
Crop_Loss,Wp,average,60,07,124.06,0.45,07_00_00_00
Crop_Loss,Wp,average,60,09,143.88,0.52,09_00_00_00
Crop_Loss,Wp,average,60,11,133.77,0.48,11_00_00_00
Crop_Loss,Wp,average,60,13,129.93,0.47,13_00_00_00
Crop_Loss,Wp,average,100,00,243.0,0.41,00_00_00_00
Crop_Loss,Wp,average,100,01,245.34,0.41,01_00_00_00
Crop_Loss,Wp,average,100,03,264.32,0.44,03_00_00_00
Crop_Loss,Wp,average,100,05,221.54,0.37,05_00_00_00
Crop_Loss,Wp,average,100,07,218.08,0.37,07_00_00_00
Crop_Loss,Wp,average,100,09,260.8,0.44,09_00_00_00
Crop_Loss,Wp,average,100,11,236.91,0.4,11_00_00_00
Crop_Loss,Wp,average,100,13,231.13,0.39,13_00_00_00
Farmer_Flood_Measure_Costs,D,average,20,00,0.0,0.0,00_00_00_00
Farmer_Flood_Measure_Costs,D,average,20,01,0.05,0.0,01_00_00_00
Farmer_Flood_Measure_Costs,D,average,20,03,0.03,0.0,03_00_00_00
Farmer_Flood_Measure_Costs,D,average,20,05,21.0,0.14,05_00_00_00
Farmer_Flood_Measure_Costs,D,average,20,07,26.63,0.18,07_00_00_00
Farmer_Flood_Measure_Costs,D,average,20,09,2.57,0.02,09_00_00_00
Farmer_Flood_Measure_Costs,D,average,20,11,0.05,0.0,11_00_00_00
Farmer_Flood_Measure_Costs,D,average,20,13,0.46,0.0,13_00_00_00
Farmer_Flood_Measure_Costs,D,average,60,00,0.0,0.0,00_00_00_00
Farmer_Flood_Measure_Costs,D,average,60,01,8.12,0.02,01_00_00_00
Farmer_Flood_Measure_Costs,D,average,60,03,7.55,0.02,03_00_00_00
Farmer_Flood_Measure_Costs,D,average,60,05,94.12,0.27,05_00_00_00
Farmer_Flood_Measure_Costs,D,average,60,07,94.14,0.26,07_00_00_00
Farmer_Flood_Measure_Costs,D,average,60,09,58.44,0.17,09_00_00_00
Farmer_Flood_Measure_Costs,D,average,60,11,14.27,0.04,11_00_00_00
Farmer_Flood_Measure_Costs,D,average,60,13,46.16,0.13,13_00_00_00
Farmer_Flood_Measure_Costs,D,average,100,00,0.0,0.0,00_00_00_00
Farmer_Flood_Measure_Costs,D,average,100,01,9.93,0.02,01_00_00_00
Farmer_Flood_Measure_Costs,D,average,100,03,8.71,0.02,03_00_00_00
Farmer_Flood_Measure_Costs,D,average,100,05,109.38,0.22,05_00_00_00
Farmer_Flood_Measure_Costs,D,average,100,07,112.33,0.22,07_00_00_00
Farmer_Flood_Measure_Costs,D,average,100,09,145.02,0.29,09_00_00_00
Farmer_Flood_Measure_Costs,D,average,100,11,51.84,0.11,11_00_00_00
Farmer_Flood_Measure_Costs,D,average,100,13,70.92,0.14,13_00_00_00
Farmer_Flood_Measure_Costs,D&G,average,20,00,0.0,0.0,00_00_00_00
Farmer_Flood_Measure_Costs,D&G,average,20,01,0.05,0.0,01_00_00_00
Farmer_Flood_Measure_Costs,D&G,average,20,03,0.03,0.0,03_00_00_00
Farmer_Flood_Measure_Costs,D&G,average,20,05,21.0,0.14,05_00_00_00
Farmer_Flood_Measure_Costs,D&G,average,20,07,26.63,0.18,07_00_00_00
Farmer_Flood_Measure_Costs,D&G,average,20,09,2.79,0.02,09_00_00_00
Farmer_Flood_Measure_Costs,D&G,average,20,11,0.05,0.0,11_00_00_00
Farmer_Flood_Measure_Costs,D&G,average,20,13,0.48,0.01,13_00_00_00
Farmer_Flood_Measure_Costs,D&G,average,60,00,0.0,0.0,00_00_00_00
Farmer_Flood_Measure_Costs,D&G,average,60,01,10.95,0.03,01_00_00_00
Farmer_Flood_Measure_Costs,D&G,average,60,03,9.78,0.03,03_00_00_00
Farmer_Flood_Measure_Costs,D&G,average,60,05,95.87,0.27,05_00_00_00
Farmer_Flood_Measure_Costs,D&G,average,60,07,96.36,0.27,07_00_00_00
Farmer_Flood_Measure_Costs,D&G,average,60,09,59.94,0.17,09_00_00_00
Farmer_Flood_Measure_Costs,D&G,average,60,11,19.97,0.05,11_00_00_00
Farmer_Flood_Measure_Costs,D&G,average,60,13,50.36,0.15,13_00_00_00
Farmer_Flood_Measure_Costs,D&G,average,100,00,0.0,0.0,00_00_00_00
Farmer_Flood_Measure_Costs,D&G,average,100,01,14.83,0.03,01_00_00_00
Farmer_Flood_Measure_Costs,D&G,average,100,03,12.86,0.03,03_00_00_00
Farmer_Flood_Measure_Costs,D&G,average,100,05,109.71,0.22,05_00_00_00
Farmer_Flood_Measure_Costs,D&G,average,100,07,110.0,0.22,07_00_00_00
Farmer_Flood_Measure_Costs,D&G,average,100,09,148.72,0.3,09_00_00_00
Farmer_Flood_Measure_Costs,D&G,average,100,11,63.6,0.13,11_00_00_00
Farmer_Flood_Measure_Costs,D&G,average,100,13,78.66,0.16,13_00_00_00
Farmer_Flood_Measure_Costs,D&G&Wp,average,20,00,0.0,0.0,00_00_00_00
Farmer_Flood_Measure_Costs,D&G&Wp,average,20,01,0.05,0.0,01_00_00_00
Farmer_Flood_Measure_Costs,D&G&Wp,average,20,03,0.03,0.0,03_00_00_00
Farmer_Flood_Measure_Costs,D&G&Wp,average,20,05,21.0,0.14,05_00_00_00
Farmer_Flood_Measure_Costs,D&G&Wp,average,20,07,26.63,0.18,07_00_00_00
Farmer_Flood_Measure_Costs,D&G&Wp,average,20,09,2.84,0.02,09_00_00_00
Farmer_Flood_Measure_Costs,D&G&Wp,average,20,11,0.05,0.0,11_00_00_00
Farmer_Flood_Measure_Costs,D&G&Wp,average,20,13,0.49,0.01,13_00_00_00
Farmer_Flood_Measure_Costs,D&G&Wp,average,60,00,0.0,0.0,00_00_00_00
